,importance
sttl,0.12378375438349941
ct_state_ttl,0.10692055953602925
dload,0.05973154466533417
rate,0.05717797487720469
sload,0.048322298271946694
dttl,0.044767183718539806
sbytes,0.0373743752240964
ct_srv_dst,0.036043853391370985
smean,0.03286089022311869
dmean,0.03246745948952956
ct_dst_src_ltm,0.02977312446348734
dbytes,0.02869051826734743
state,0.0285511102821436
proto,0.02853695765463369
tcprtt,0.026995209043619177
dur,0.02453740752544438
ackdat,0.024337386012236114
ct_srv_src,0.024223231181198013
synack,0.023435401050930456
dpkts,0.01945394408084205
sinpkt,0.01867008019044604
ct_dst_sport_ltm,0.01653106916817182
dinpkt,0.01407723849231715
djit,0.013335124538616832
sjit,0.012618543143514085
ct_dst_ltm,0.010045962189481965
spkts,0.00937497644388343
ct_src_ltm,0.008050868172647335
dloss,0.00804084654677281
service,0.008036488972057748
dtcpb,0.007255461075551085
stcpb,0.007100258906985334
sloss,0.0069876022286941685
ct_src_dport_ltm,0.0067832375398954505
is_sm_ips_ports,0.006160331223224587
swin,0.002646256644476116
ct_flw_http_mthd,0.0020194414411949376
trans_depth,0.0017829593979180145
response_body_len,0.0017602144142845162
dwin,0.0005114151624648782
ct_ftp_cmd,0.0001224054551954368
is_ftp_login,0.00010503530965452344
