model,feature_set,n_features,accuracy,precision,recall,f1,fpr_standard,tn,fp,fn,tp
DecisionTree,full_features,42,0.9137880775397172,0.8941812033485917,0.9566310773846289,0.9243525524885431,0.1387027027027027,31868,5132,1966,43366
AdaBoost,full_features,42,0.911286012728951,0.8820373719107897,0.9683887761404747,0.9231982502996783,0.15867567567567567,31129,5871,1433,43899
GBT,full_features,42,0.8519895059029297,0.7927884955126846,0.9899188211417983,0.8804544027625176,0.317,25271,11729,457,44875
MLP,full_features,42,0.8645119759024438,0.808317546233649,0.9882864201888291,0.8892880891650208,0.2871351351351351,26376,10624,531,44801
DecisionTree,giwrf_th0.03_10feat,10,0.9026259534567361,0.9041306560963459,0.9207844348363187,0.9123815560825801,0.11962162162162163,32574,4426,3591,41741
AdaBoost,giwrf_th0.03_10feat,10,0.9018364669873197,0.8867317275747508,0.9420497661695932,0.9135541008856373,0.14743243243243243,31545,5455,2627,42705
GBT,giwrf_th0.03_10feat,10,0.828183452363601,0.7697657520501021,0.9815141621812407,0.8628386371128822,0.35967567567567565,23692,13308,838,44494
MLP,giwrf_th0.03_10feat,10,0.8544308409852791,0.8101988800208368,0.9606679608223772,0.8790408041742781,0.27572972972972976,26798,10202,1783,43549
DecisionTree,giwrf_th0.02_19feat,19,0.9198246125443327,0.9102599411054382,0.9478293479219977,0.9286648295239639,0.11448648648648649,32764,4236,2365,42967
AdaBoost,giwrf_th0.02_19feat,19,0.9112495748919011,0.8845648172495398,0.9647048442601253,0.9228983549820092,0.15424324324324323,31293,5707,1600,43732
GBT,giwrf_th0.02_19feat,19,0.8445197493076811,0.7857356170399649,0.9866760787081973,0.8748154160595363,0.3296486486486486,24803,12197,604,44728
MLP,giwrf_th0.02_19feat,19,0.8622771218967109,0.8065028041765099,0.9865657813465102,0.887493178548395,0.29,26270,10730,609,44723
DecisionTree,giwrf_papermethod_26feat,26,0.9208934557644658,0.9079082865729358,0.9529912644489544,0.9299036754022494,0.11843243243243243,32618,4382,2131,43201
AdaBoost,giwrf_papermethod_26feat,26,0.8968080454744206,0.8596984610577298,0.9710579722933027,0.911991381453551,0.19416216216216217,29816,7184,1312,44020
GBT,giwrf_papermethod_26feat,26,0.8495238789292134,0.7898534147500308,0.9901394158651725,0.8787282569328204,0.32275675675675675,25058,11942,447,44885
MLP,giwrf_papermethod_26feat,26,0.8572729922751785,0.8018516853932585,0.9839186446660196,0.8836039105757897,0.2978918918918919,25978,11022,729,44603
