,shap_rank,shap_mean_abs_value,giwrf_rank,giwrf_importance,rank_difference
sttl,1,0.33565768736634544,1,0.1237837543834994,0
sbytes,2,0.16852325681434766,7,0.0373743752240964,5
ct_srv_dst,3,0.029937135325086017,8,0.0360438533913709,5
smean,4,0.0165053870973983,9,0.0328608902231186,5
tcprtt,5,0.01165460141608821,15,0.0269952090436191,10
ct_dst_src_ltm,6,0.010528166332778168,11,0.0297731244634873,5
ct_dst_sport_ltm,7,0.008430478287829779,22,0.0165310691681718,15
dinpkt,8,0.007413080462185152,23,0.0140772384923171,15
ct_state_ttl,9,0.006887752014985367,2,0.1069205595360292,-7
ct_srv_src,10,0.0035551903236530806,18,0.024223231181198,8
dmean,11,0.0034854288723162132,10,0.0324674594895295,-1
state,12,0.003061661650154069,13,0.0285511102821436,1
dload,13,0.0020204556312139353,3,0.0597315446653341,-10
dbytes,14,0.0019812032907388444,12,0.0286905182673474,-2
dur,15,0.0014117412756637156,16,0.0245374075254443,1
proto,16,0.001223589725181289,14,0.0285369576546336,-2
rate,17,0.0011413867040757247,4,0.0571779748772046,-13
synack,18,0.0005404864970515774,19,0.0234354010509304,1
dpkts,19,0.00040865171331110626,20,0.019453944080842,1
ackdat,20,0.0001952131554365267,17,0.0243373860122361,-3
djit,21,0.00019500938175461772,24,0.0133351245386168,3
sjit,22,0.00013443339093299986,25,0.012618543143514,3
sinpkt,23,0.00011836746693980494,21,0.018670080190446,-2
sload,24,4.3651590078459286e-05,5,0.0483222982719466,-19
ct_dst_ltm,25,1.576766935665112e-05,26,0.0100459621894819,1
dttl,26,0.0,6,0.0447671837185398,-20
